node_1;node_2;distance;traveltime
105737;105478;13100;11790
105737;105479;12091;10882
105737;105480;11037;9933
105737;105509;10504;9454
105737;105511;14825;13343
105737;105512;18311;16480
105737;105536;14675;13207
105737;105538;9459;8513
105737;105539;18749;16874
105737;105559;13268;11941
105737;105560;9862;8876
105737;105561;19355;17419
105737;105576;18909;17018
105737;105577;8642;7778
105737;105578;10884;9796
105737;105579;19744;17770
105737;105593;11636;10472
105737;105594;11270;10143
105737;105595;7854;7068
105737;105613;8138;7324
105737;105629;11621;10459
105737;105630;8465;7619
105737;105631;6058;5452
105737;105643;13803;12423
105737;105644;12371;11134
105737;105645;5491;4942
105737;105646;4028;3625
105737;105661;13060;11754
105737;105662;8546;7691
105737;105678;14300;12870
105737;105680;2998;2698
105737;105691;14687;13218
105737;105692;14363;12926
105737;105693;8895;8005
105737;105694;2380;2142
105737;105708;11018;9916
105737;105709;10268;9241
105737;105718;11112;10001
105737;105719;7198;6478
105737;105722;1146;1031
105737;105734;18930;17037
105737;105735;11096;9986
105737;105736;4944;4450
105737;105738;14116;12705
105737;105749;11778;10600
105737;105750;6701;6031
105737;105752;3741;3367
105737;105753;1041;937
105737;105763;13079;11771
105737;105764;12650;11385
105737;105765;1960;1764
